n02119789	kit fox, vulpes macrotis
n07850219	clabber
n07880968	burrito
n04379096	tab key, tab
n10681194	survivor, subsister
n03882960	panhandle
n04425804	third base, third
n04572121	welder's mask
n13156986	palmate leaf
n03091907	conning tower
n03653833	lederhosen
n03284743	enamel
n03674440	linkage
n10637483	split end
n10391416	page, pageboy
n09933098	cobbler, shoemaker
n00449517	auto racing, car racing
n10384496	orphan
n04231905	skivvies
n02714535	anode
n07868340	fried rice, chinese fried rice
n04495183	tucker
n04503155	twill
n02768973	backgammon board
n07800091	feed, provender
n02705429	amphora
n04247876	snaffle, snaffle bit
n04578801	whisk, whisk broom
n00449892	camel racing
n09814252	assayer
n10082687	featherweight
n03019806	chin strap
n03435593	geodesic dome
n04459362	towel
n07887192	suds
n10162194	hater
n07908923	chartreuse
n03188725	diaper
n10245341	landlubber, lubber, landsman
n03185868	dewar flask, dewar
n04406552	television transmitter
n13555775	shit, dump
n00475661	five hitter, 5 hitter
n03870546	pack
n03937543	pill bottle
n03510487	heaver
n10098710	foe, enemy
n09988063	dad, dada, daddy, pa, papa, pappa, pop
n02828115	belt, belt ammunition, belted ammunition
n09710886	dorian
n04345787	stuffing nut, packing nut
n10717055	tosser
n07805006	slop, slops, swill, pigswill, pigwash
n10506336	ramrod
n04410565	tenpin
n03629231	kurta
n03901750	pawn
n07861557	coq au vin
n01413457	desmid
n03835729	numdah, numdah rug, nammad
n10116478	fundraiser
n02855390	blowtorch, torch, blowlamp
n02943964	camise
n07854707	string cheese
n03147280	culvert
n10576962	selfish person
n13017102	blewits, clitocybe nuda
n13076041	cortinarius violaceus
n04370048	sweater, jumper
n03589672	jack
n03062985	coffee can
n07909129	coffee liqueur
n07867164	falafel, felafel
n04065789	recycling bin
n07687469	french bread
n03859608	outfall
n10249191	law agent
n10599215	simperer
n09789566	amputee
n02867401	bombazine
n02200509	wiggler, wriggler
n03162714	dart
n10617397	snorer
n04452615	toolbox, tool chest, tool cabinet, tool case
n05262534	mustachio, moustachio, handle bars
n13160254	odd pinnate leaf
n07920222	caffe latte, latte
n03000247	chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour
n10237556	kitchen police, kp
n07615460	strawberry ice cream
n10552393	sassenach
n03430959	gear, paraphernalia, appurtenance
n04394421	target acquisition system
n04418357	theater curtain, theatre curtain
n10067600	event planner
n10397142	paperhanger
n10735298	tyrant, autocrat, despot
n10098245	flutist, flautist, flute player
n10538629	ropemaker, rope maker, roper
n03781787	monitor
n00445055	surfing, surfboarding, surfriding
n02778294	baldric, baldrick
n03416900	garbage
n10482054	promiser, promisor
n10098862	folk dancer
n10485883	protectionist
n03314227	face guard
n03140292	crucifix, rood, rood tree
n10432875	pill
n10227490	junior, jr, jnr
n10684630	swot, grind, nerd, wonk, dweeb
n07580053	side dish, side order, entremets
n10603851	sitar player
n10761190	voyager
n01419332	polymastigote
n03120491	court
n03963294	playback
n03909020	pendant earring, drop earring, eardrop
n07861334	fritter batter
n09943811	commissioner
n02285801	tussock caterpillar
n03966582	pleximeter, plessimeter
n00482122	netball
n04298053	stair rod
n10764622	walk on
n04024862	punnet
n09873769	breaststroker
n02311617	nymph
n07863229	bubble and squeak
n03546235	housetop
n02920164	bunk, feed bunk
n09731571	south american
n07651025	puree
n07587206	turtle soup, green turtle soup
n03522100	hip roof, hipped roof
n09833111	bailiff
n03659292	lever
n03692272	lounging pajama, lounging pyjama
n07930315	mimosa, buck's fizz
n09666349	potawatomi
n10290541	maniac
n10645017	staff sergeant
n09845401	beard
n04219424	silk
n07611839	mousse
n07861813	chicken and rice
n07683138	host
n04364994	surplice
n10478293	proconsul
n03973945	pod, fuel pod
n10320484	mining engineer
n03109253	corncrib
n09475179	watercourse
n03980026	pomade, pomatum
n03824284	nightcap
n09955944	rep
n09917593	child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling
n07890750	mead
n10715347	toolmaker
n07899660	verdicchio
n07562881	fad diet
n03768916	mineshaft
n10586265	shanghaier, seizer
n04590129	window shade
n04525191	velveteen
n02814428	beach towel
n10646140	stakeholder
n07688130	skillet corn bread
n10712690	tippler, social drinker
n10579549	senior vice president
n04506895	ultrasuede
n10063635	eskimo, esquimau, inuit
n00444651	skin diving, skin dive
n07866409	dolmas, stuffed grape leaves
n10146002	great nephew, grandnephew
n04267165	spandex
n09988311	dairyman
n09910374	charmer, beguiler
n13072528	hygrophorus russula
n13133233	glomerule
n07898745	table wine
n13018088	tricholoma pardinum
n03228796	dover's powder
n10295479	marquis, marquess
n07853125	rat cheese, store cheese
n09861863	boatbuilder
n10043024	eclectic, eclecticist
n04409806	tennis racket, tennis racquet
n04563790	waterworks
n04610676	yard
n02795169	barrel, cask
n03199358	dimity
n03951068	piton
n09748648	prussian
n03805725	nail polish, nail enamel, nail varnish
n03216199	divining rod, dowser, dowsing rod, waterfinder, water finder
n10635788	sphinx
n07843220	fluffy omelet
n04553703	washbasin, handbasin, washbowl, lavabo, wash hand basin
n13082568	rhizoctinia
n09495962	gryphon, griffin, griffon
n01393486	globigerina
n00434075	acrobatics, tumbling
n10141364	grammarian, syntactician
n07904865	grog
n07685918	black bread, pumpernickel
n03781594	moneybag
n07927716	birch beer
n04129766	sailor suit
n06592421	tribute album, benefit album
n13016076	potato fungus, pellicularia filamentosa, rhizoctinia solani
n10353016	neonate, newborn, newborn infant, newborn baby
n06263609	print media
n09690496	andorran
n02783161	ballpoint, ballpoint pen, ballpen, biro
n09881895	business editor
n07839172	hungarian sauce, paprika sauce
n03978686	polo mallet, polo stick
n07835457	hollandaise
n09994400	day laborer, day labourer
n09909660	charcoal burner
n02802426	basketball
n13873502	circle
n02808304	bath towel
n03949317	piston rod
n03426134	gas tank, gasoline tank, petrol tank
n09940725	comedian
n03792334	mound, hill, pitcher's mound
n09658254	kalapooia, kalapuya, calapooya, calapuya
n07888816	weizenbock
n09765118	active citizen
n03145719	cue ball
n04064213	recording system
n03124043	cowboy boot
n10002257	demographer, demographist, population scientist
n04113406	roulette wheel, wheel
n10077879	fanatic, fiend
n07904637	sloe gin
n13128582	rhizome, rootstock, rootstalk
n10222170	jezebel
n07819682	chinese mustard
n04363777	surcoat
n03970546	plush
n01322221	baby
n07862348	barbecued spareribs, spareribs
n12976554	dictostylium
n03796522	mud brick
n02817251	bearing rein, checkrein
n02880940	bowl
n04112752	rouge, paint, blusher
n07691650	crescent roll, croissant
n13021332	clitocybe inornata
n10333165	mother hen
n13031193	urnula craterium, urn fungus
n03943833	pinstripe
n07858595	sweetening, sweetener
n07615190	peach ice cream
n07582277	hors d'oeuvre
n03275566	electrograph
n07929172	tonic, tonic water, quinine water
n03447075	golf glove
n09990777	dancing master, dance master
n03404360	fur hat
n03836976	nylons, nylon stocking, rayons, rayon stocking, silk stocking
n04186051	shaving cream, shaving soap
n13882201	pentagon
n03374102	flying carpet
n07593199	smorgasbord
n02404028	maverick
n03539433	horseshoe, shoe
n03844815	oilskin, slicker
n09505153	spiritual leader
n13024012	ascomycete, ascomycetous fungus
n03982767	poor box, alms box, mite box
n11684499	epicarp, exocarp
n10645223	stage director
n07606058	jujube
n04524941	velour, velours
n10726786	traveling salesman, travelling salesman, commercial traveler, commercial traveller, roadman, bagman
n07592481	beef stew
n10266848	litigant, litigator
n03645168	latchet
n03487533	hand luggage
n10316862	military leader
n10181547	homeboy
n10058411	enjoyer
n13055792	frost's bolete, boletus frostii
n09660240	maricopa
n13018232	tricholoma vaccinum
n02297442	armyworm, army worm, pseudaletia unipuncta
n10482220	promoter, booster, plugger
n10056719	end man, corner man
n10342893	muzzler
n03477303	hair trigger
n07619508	fruit custard
n03261603	earmuff
n03834040	nuclear reactor, reactor
n07684517	raisin bread
n10032987	dreamer
n10341955	mutilator, maimer, mangler
n03843092	oil, oil color, oil colour
n04132829	samite
n09616573	enologist, oenologist, fermentologist
n07681355	caraway seed bread
n03308614	eyecup, eyebath, eye cup
n09901642	caterer
n13158605	lyrate leaf
n03233123	drapery
n10433737	pimp, procurer, panderer, pander, pandar, fancy man, ponce
n07817315	coriander, chinese parsley, cilantro
n03688405	long sleeve
n04505888	tyrolean, tirolean
n13902048	ridge
n04318131	stick
n10211036	interlocutor, middleman
n10583790	settler
n03580845	interphone
n10437262	plagiarist, plagiarizer, plagiariser, literary pirate, pirate
n13896217	crescent
n13880199	isosceles triangle
n07755089	cocoa
n00448640	ice skating
n04113641	round, unit of ammunition, one shot
n10040945	eager beaver, busy bee, live wire, sharpie, sharpy
n10010632	devisee
n10334009	motorcyclist
n07880880	chicken taco
n06281175	signal detection, detection
n04570815	weekender
n02469472	tadpole, polliwog, pollywog
n10186350	horticulturist, plantsman
n03723267	marquetry, marqueterie
n02850358	blazer, sport jacket, sport coat, sports jacket, sports coat
n04285803	sportswear, athletic wear, activewear
n01349735	bacteroid
n03318983	fallboard, fall board
n07564796	soft diet, pap, spoon food
n10676434	supermom
n04593185	wing nut, wing nut, wing screw, butterfly nut, thumbnut
n03678558	litterbin, litter basket, litter basket
n03690279	lorraine cross, cross of lorraine
n03146342	cuisse
n03450230	gown
n04378489	tabard
n10443830	pluralist
n10747965	venture capitalist
n10492086	puerpera
n03144873	cubitiere
n02156871	quadruped
n10361060	nondescript
n07902121	neutral spirits, ethyl alcohol
n07869522	corned beef hash
n04589890	window screen
n09032191	swiss canton
n01467336	cephalochordate
n04256758	soffit
n03592669	jalousie
n15092942	vitamin k1, phylloquinone, phytonadione
n03417202	garboard, garboard plank, garboard strake
n13128976	rachis
n07596160	icing sugar
n10713843	toast mistress
n03201996	dinner pail, dinner bucket
n03467254	guimpe
n12989007	roccella, roccella tinctoria
n10514784	refiner
n07815163	ginger, powdered ginger
n10103155	foremother
n07851554	mascarpone
n09855433	biographer
n10493835	puppy, pup
n07895237	bordeaux, bordeaux wine
n10569179	second rater, mediocrity
n03440216	global positioning system, gps
n02412629	lambkin
n04032509	quarterstaff
n00475142	one hitter, 1 hitter
n12998815	agaric
n13040629	common stinkhorn, phallus impudicus
n03875806	paintball
n10106387	foster father, foster father
n03824999	nightshirt
n03515338	heraldry
n13893786	groove, channel
n10275249	lowlander, scottish lowlander, lowland scot
n10575463	seeded player, seed
n10081204	father, padre
n07841639	hard boiled egg, hard cooked egg
n01389507	protozoan, protozoon
n07808904	tabbouleh, tabooli
n03722944	marocain, crepe marocain
n03082450	compress
n06274546	wake up call
n07843775	dairy product
n07685546	skillet bread, fry bread
n05233741	mandibular notch
n12738259	american mistletoe, arceuthobium pusillum
n09953350	confectioner, candymaker
n03677682	lisle
n07607361	licorice, liquorice
n01334217	variola major, variola major virus
n02992529	cellular telephone, cellular phone, cellphone, cell, mobile phone
n07689313	spoon bread, batter bread
n07887634	lager, lager beer
n07612530	prune whip
n04167661	seersucker
n06592281	rock opera
n07687789	cornbread
n03058603	coating
n10530383	riding master
n04292414	squash racket, squash racquet, bat
n15091669	vitamin b6, pyridoxine, pyridoxal, pyridoxamine, adermin
n04039742	racquetball
n04389430	tankard
n10473562	prince consort
n10243483	lady's maid
n07596362	corn sugar
n04268142	spark arrester, sparker
n07681926	cracker
n10261211	life tenant
n03796974	muff
n07930062	fruit punch
n07847706	half and half
n04281375	splashboard, splasher, dashboard
n10657835	stock trader
n10397001	paperhanger, paperer
n04124887	saddle stitch
n13060017	boletellus russellii
n10669991	subordinate, subsidiary, underling, foot soldier
n13154841	bract
n03961828	plate rail
n09749386	guinean
n03927299	photostat, photostat machine
n01473806	aquatic vertebrate
n03258330	dustcloth, dustrag, duster
n10279778	madame
n07895962	sauvignon blanc
n03745146	menagerie, zoo, zoological garden
n07606191	honey crisp
n03631177	lace
n10368711	nympholept
n00452734	battue
n06267564	daily
n07815294	mace
n13071815	hygrophorus inocybiformis
n03877351	paisley
n07914887	flip
n03574243	instep
n13051346	neolentinus ponderosus
n03863108	overall
n13160938	denticulate leaf
n04402746	telephone system, phone system
n10481268	programmer, computer programmer, coder, software engineer
n10206506	ingenue
n10253611	legatee
n01323261	suckling
n03495671	harpoon
n10227793	junior middleweight
n03710421	maildrop
n03831382	noseband, nosepiece
n04253168	snuffer
n13884930	cuboid
n10611613	sleuth, sleuthhound
n09967555	cossack
n03308481	eyebrow pencil
n03825788	nipple
n09616922	entertainer
n10147935	groom, bridegroom
n10444194	poet
n02989099	cedar chest
n03464053	g string, thong
n10749928	vibist, vibraphonist
n10090745	finder
n13916363	polyhedral angle
n02847461	blackjack, cosh, sap
n07843117	french omelet
n07937344	perishable, spoilable
n04047733	railing
n07915618	manhattan
n10060352	entrepreneur, enterpriser
n03507458	hearthrug
n03267696	elastic
n04413151	terminal, pole
n11786843	taro, cocoyam, dasheen, eddo
n10181878	homegirl
n02846733	black box
n03155915	cyclostyle
n03293741	equalizer, equaliser
n03349296	firkin
n09967967	co star
n10225931	judge advocate
n03994417	powdered mustard, dry mustard
n02979074	cassette deck
n10562283	scorer
n03341606	finger bowl
n10025295	don, father
n00005787	benthos
n07926442	orangeade
n10576676	selectman
n00453478	fox hunting, foxhunt
n07732302	hominy
n10510974	receiver
n13091620	sporophyll, sporophyl
n09888635	caller, caller out
n07879659	tamale
n07642833	chowchow
n03058107	coating, coat
n03163973	data input device, input device
n10299700	masturbator, onanist
n07871335	macedoine
n02790996	barbell
n04578559	whipstitch, whipping, whipstitching
n02843158	birdbath
n03415749	gangway
n10761326	voyeur, peeping tom, peeper
n04286960	spot weld, spot weld
n03656957	lens, electron lens
n01394040	testacean
n04289195	sprinkler system
n04150153	scouring pad
n10204833	infanticide
n03456186	grey, gray
n04110281	rosin bag
n10167565	heckler, badgerer
n03408340	fustian
n09942697	commissar, political commissar
n10758949	voicer
n03868406	oxford
n10171219	herald, trumpeter
n09789150	amoralist
n07835173	thousand island dressing
n07932323	cassiri
n02896949	breeder reactor
n03662719	life buoy, lifesaver, life belt, life ring
n10011360	dialectician
n09814488	assemblywoman
n10208950	inspector general
n09972458	cover girl, pin up, lovely
n04184880	sharkskin
n03719743	mantilla
n03838024	object ball
n09886403	caddie, golf caddie
n07869611	jambalaya
n03710193	mailbox, letter box
n03697913	lungi, lungyi, longyi
n03908204	pencil
n10726031	transvestite, cross dresser
n02950632	cannon
n09475044	wasp's nest, wasps' nest, hornet's nest, hornets' nest
n02843909	biretta, berretta, birretta
n09635534	black african
n02895328	breast pocket
n03590306	jacket
n13032618	disciotis venosa, cup morel
n07691954	kaiser roll
n09752023	zulu
n02451575	fictional animal
n07595751	castor sugar, caster sugar
n02809241	batiste
n09745834	texan
n04485884	triskelion, triskele
n09654898	diegueno
n07592400	turkey stew
n10321126	ministrant
n06274921	telegraphy
n04477548	treasure chest
n10361525	nonperson, unperson
n01904029	plastron
n07846557	skim milk, skimmed milk
n04974145	puce
n03182912	developer
n04613015	yoke
n03694949	lubber's hole
n01475232	heterostracan
n10624437	songstress
n09734450	tibetan
n09933842	codger, old codger
n04185071	sharpener
n02893692	bread bin, breadbox
n03490324	handwear, hand wear
n10566072	sculptor, sculpturer, carver, statue maker
n04264361	sou'wester
n14900184	agar, nutrient agar
n06273294	collect call
n03480719	halter, hackamore
n10510245	rear admiral
n07910048	triple sec
n04278447	spinnaker
n13132756	thyrse, thyrsus
n03061211	cockhorse
n10358575	nimby
n07643981	gelatin, jelly
n00443803	flip
n10405694	patient
n07690273	muffin, gem
n09912431	male chauvinist, sexist
n10038620	duke
n07682624	flatbread
n10646780	stammerer, stutterer
n04972451	chocolate, coffee, deep brown, umber, burnt umber
n03225616	dossal, dossel
n03683457	lockage
n03900028	patka
n04257223	soft pedal
n07682197	crouton
n03046921	clock radio
n10061431	eparch
n10341243	musicologist
n03880032	pallium
n03228692	dovecote, columbarium, columbary
n03078287	communication system
n07835701	bercy, bercy butter
n03192543	dictaphone
n03395256	french polish, french polish shellac
n07692248	clover leaf roll
n04964878	maroon
n07890352	stout
n09871229	cub, lad, laddie, sonny, sonny boy
n10471859	prima donna
n09889691	campaigner, candidate, nominee
n00480993	basketball, basketball game, hoops
n07826091	tabasco, tabasco sauce
n03210683	dispenser
n04164406	second base
n10094320	flagellant
n09976728	creditor
n03149401	curb roof
n10431625	picker, chooser, selector
n07848338	butter
n02921195	bunting
n07933799	cuppa, cupper
n13127666	quickset
n07840395	curry sauce
n10357737	niggard, skinflint, scrooge, churl
n03205669	dirndl
n07901457	muscat, muscatel, muscadel, muscadelle
n10062492	equerry
n07608641	peanut bar
n02978205	casque
n02787435	bangle, bauble, gaud, gewgaw, novelty, fallal, trinket
n03630383	lab coat, laboratory coat
n09835348	balloonist
n04582349	wicker basket
n01476418	conodont
n07569543	wheat flour
n10164233	headmaster, schoolmaster, master
n07845702	raw milk
n10557854	scholar, scholarly person, bookman, student
n09734639	tuareg
n09865744	bookbinder
n02768433	backbone
n03461882	groined vault
n12980080	water mold
n03347037	fire screen, fireguard
n02955767	cape, mantle
n04597309	woodcarving
n09735258	turki
n07834065	anchovy dressing
n01322343	pup, whelp
n07731436	postum
n10675142	sundowner
n13068917	flag smut fungus
n07910538	pastis
n09714694	iraqi, iraki
n03693707	loving cup
n02992368	cellophane
n10103228	foreign agent
n07894799	chardonnay, pinot chardonnay
n03993403	poultice, cataplasm, plaster
n10240417	kolkhoznik
n02744844	arthrogram
n07616046	frozen yogurt
n01323599	thoroughbred, purebred, pureblood
n01477525	lamprey, lamprey eel, lamper eel
n09755893	aberrant
n10335246	mourner, griever, sorrower, lamenter
n13132656	panicle
n10654827	stepmother
n09393605	plain, field, champaign
n03871083	package, parcel
n04393549	tapestry, tapis
n07934530	black tea
n03769881	minibus
n02910542	buckram
n03871628	packet
n07937461	couscous
n04359217	supplejack
n09825750	automobile mechanic, auto mechanic, car mechanic, mechanic, grease monkey
n04402057	telephone line, phone line, telephone circuit, subscriber line, line
n02153109	big game
n04236377	sleeve, arm
n12739966	american mistletoe, phoradendron serotinum, phoradendron flavescens
n07690892	scone
n09974648	craftsman, artisan, journeyman, artificer
n13036116	helvella acetabulum
n03115400	cotton flannel, canton flannel
n09260907	cultivated land, farmland, plowland, ploughland, tilled land, tillage, tilth
n03898271	patchouli, patchouly, pachouli
n01410457	pond scum
n07917507	scotch and soda
n10404998	paster
n10156629	hakim, hakeem
n10353355	nephew
n13030616	peziza domicilina
n00470830	hurling
n10140683	grabber
n13040796	phallus ravenelii
n09714120	icelander
n10062996	escapist, dreamer, wishful thinker
n10210648	interior designer, designer, interior decorator, house decorator, room decorator, decorator
n10191613	humanitarian, do gooder, improver
n06274092	long distance, long distance call, trunk call
n03013850	chenille
n07693223	honey bun, sticky bun, caramel bun, schnecken
n09895222	careerist
n05260240	pompadour
n10356450	newspaper editor
n13038376	gyromitra infula, saddled shaped false morel
n04131499	saltcellar
n04518132	vacuum flask, vacuum bottle
n03055159	clutch, clutch pedal
n07921455	cider, cyder
n07927070	negus
n02766168	babushka
n07611046	compote, fruit compote
n09704157	lancastrian
n07928578	phosphate
n09676247	punjabi, panjabi
n03637027	lamp house, lamphouse, lamp housing
n10091450	fire eater, fire swallower
n03733281	maze, labyrinth
n07816164	basil, sweet basil
n04137897	satellite television, satellite tv
n07841800	easter egg
n02881193	bowl
n02933990	cable, cable television, cable system, cable television service
n10114662	fuddy duddy
n10101634	football player, footballer
n02878628	boulle, boule, buhl
n13014581	lepiota rubrotincta
n13070308	waxycap
n03213538	distributor cap
n10464052	prayer, supplicant
n10324560	model, poser
n05241485	melanocyte
n09971273	countrywoman
n10059067	enophile, oenophile
n07802417	grain, food grain, cereal
n09941089	comer
n01397871	seagrass
n07846688	semi skimmed milk
n07696839	club sandwich, three decker, triple decker
n03386870	foul weather gear
n09688804	frank
n03138669	crown, diadem
n10041887	earner, wage earner
n03467380	guimpe
n07678586	mincemeat
n07560331	finger food
n10293861	margrave
n07594737	choice morsel, tidbit, titbit
n02755352	attachment, bond
n04134523	sandbox
n07564101	low fat diet
n10756261	visigoth
n10743124	utilizer, utiliser
n09669631	teton, lakota, teton sioux, teton dakota
n03291741	envelope
n03655072	legging, leging, leg covering
n03148518	cup hook
n11705387	cassia bark, chinese cinnamon
n04207903	shoulder pad
n10024025	dolichocephalic
n09958292	anglican
n09896826	carper, niggler
n13014741	lepiota clypeolaria
n03751458	mess kit
n09892693	captain, senior pilot
n10382710	organ grinder
n04097866	robe
n10306890	melkite, melchite
n09736798	uzbek, uzbeg, uzbak, usbek, usbeg
n10369095	oarswoman
n13075684	cortinarius semisanguineus
n03846431	olympian zeus
n04198562	shirtwaist, shirtwaister
n07803779	cracked wheat
n10432957	pillar, mainstay
n03976657	pole
n10375402	old man
n10498986	quartermaster
n13157346	bijugate leaf, bijugous leaf, twice pinnate
n03538542	horsecloth
n06255613	paper
n02944256	camlet
n13034062	morchella semilibera, half free morel, cow's head
n13064111	flax rust, flax rust fungus, melampsora lini
n07814790	fennel
n10354265	neurologist, brain doctor
n07850329	cheese
n03983499	popgun
n03923379	phial, vial, ampule, ampul, ampoule
n04485423	triptych
n09930628	closet queen
n13075847	cortinarius subfoetidus
n09629065	religionist
n13014879	onion stem, lepiota cepaestipes
n03535780	horizontal bar, high bar
n02878425	boucle
n01899894	encolure
n07691539	brioche
n10070108	executive vice president
n07845495	goats' milk
n07860805	batter
n07688898	hush puppy, hushpuppy
n10105733	forward
n09883807	busybody, nosy parker, nosey parker, quidnunc
n10533983	roarer, bawler, bellower, screamer, screecher, shouter, yeller
n07838551	mole
n09613690	cosigner, cosignatory
n04259630	sombrero
n10522324	reprobate, miscreant
n13004992	cinnabar chanterelle, cantharellus cinnabarinus
n02693246	air terminal, airport terminal
n03929855	pickelhaube
n04608923	xerox, xerographic copier, xerox machine
n10318686	millwright
n04071263	regalia
n04469514	trampoline
n01479820	gnathostome
n07833535	bleu cheese dressing, blue cheese dressing
n04439712	tinfoil, tin foil
n04049303	rain barrel
n10420277	petit juror, petty juror
n07612273	peach melba
n10380499	orangeman
n02937010	cagoule
n09726621	south american indian
n10160188	hardliner
n04334504	streamliner
n10118301	galoot
n10245863	landscape architect, landscape gardener, landscaper, landscapist
n10704712	texas ranger, ranger
n11688069	microsporophyll
n03879705	pallette, palette
n07832202	peach sauce
n10333838	motorcycle cop, motorcycle policeman, speed cop
n04970470	lavender
n03961394	platen
n07680517	breadstick, bread stick
n09938080	coloratura, coloratura soprano
n04306847	statue
n09637339	black woman
n03812263	naval missile
n07590974	porkholt
n02823510	beer can
n07889990	burton
n07577772	ploughman's lunch
n08678783	waterline, water line, water level
n09915434	cheops, khufu
n10202624	incumbent, officeholder
n09820263	athlete, jock
n09919899	choker
n10074578	extern, medical extern
n07858336	tapenade
n13132338	flower cluster
n02743426	arsenal, armory, armoury
n10219879	jat
n04018155	public address system, p.a. system, pa system, p.a., pa
n03514340	hemming stitch
n02698244	alms dish, alms tray
n07816726	caraway
n07654298	biryani, biriani
n13021689	clitocybe irina, tricholoma irinum, lepista irina
n10214062	invader, encroacher
n07888229	pilsner, pilsener
n10105906	foster brother, foster brother
n04539794	voile
n04085574	reversible
n03134853	croquet equipment
n10692883	tax assessor, assessor
n07824988	pickle
n03719560	mantelet, mantilla
n08651104	sideline, out of bounds
n07804657	white rice, polished rice
n09778537	aggravator, annoyance
n10394786	paleontologist, palaeontologist, fossilist
n07613815	jello, jell o
n04546194	walking stick
n03846970	omnirange, omnidirectional range, omnidirectional radio range
n08644045	harborage, harbourage
n07569644	whole wheat flour, graham flour, graham, whole meal flour
n04092168	rigout
n07846802	whole milk
n13231678	shoestring fungus
n09834699	ballet dancer
n02670683	accelerator, accelerator pedal, gas pedal, gas, throttle, gun
n13072706	hygrophorus sordidus
n03327553	fencing mask, fencer's mask
n03087643	condenser
n07846938	low fat milk
n07690585	yorkshire pudding
n09376198	ocean
n13160365	pedate leaf
n10656223	stifler, smotherer
n12982915	phytophthora citrophthora
n02827148	bellyband
n07859142	saccharin
n04400289	telecommunication system, telecom system, telecommunication equipment, telecom equipment
n09836343	banderillero
n04094250	ripping bar
n07815588	pepper, peppercorn
n13001041	mushroom
n03681477	local area network, lan
n02972397	cartridge belt
n10791820	workmate
n02836392	bier
n01462544	gastrula
n02681392	adobe, adobe brick
n07608098	marshmallow
n07860548	corn syrup
n09955406	confucian, confucianist
n07879821	tamale pie
n03730655	matrix
n03631811	lacquer
n04503269	twill, twill weave
n02720048	antifouling paint
n09796974	anti american
n09842395	basket maker
n09935434	collaborator, cooperator, partner, pardner
n03349771	first base
n10114550	fucker
n00440643	fosbury flop
n10720197	track star
n10620212	socinian
n07588817	vichyssoise
n03019198	chinning bar
n07805478	cud, rechewed food
n07899292	sweet vermouth, italian vermouth
n10126708	genitor
n09690208	altaic
n03548086	hubcap
n04267246	spandrel, spandril
n03878294	palanquin, palankeen
n03504205	headpiece
n09654518	delaware
n04492157	trunk line
n11705776	cinnamon bark
n03588841	jabot
n04439505	tinderbox
n04448070	toilet water, eau de toilette
n01359762	trichodesmium
n10262343	light o' love, light of love
n03890233	parfait glass
n03709644	mail
n03928994	piano wire
n10441694	pledger
n10078719	farm boy
n04552097	war paint
n10091349	fire chief, fire marshal
n10700640	tenant
n02797881	base, bag
n07864638	tetrazzini
n13869045	extrados
n13014409	american parasol, lepiota americana
n07585474	stock cube
n10291822	man of action, man of deeds
n04029647	pyrograph
n09902851	celebrant
n09436708	sky
n10758445	vizier
n13917690	truncated pyramid
n09433839	shoreline
n10106995	foster sister, foster sister
n10149436	grunter
n13013965	poisonous parasol, lepiota morgani
n10548681	salesperson, sales representative, sales rep
n03640850	lanolin
n10610850	sleeper
n03812382	naval radar
n09982525	cultist
n05526957	prepuce, foreskin
n08569482	farmland, farming area
n07581607	canape
n04572935	well
n10286282	malik
n03242264	drip pan
n13047862	gastrocybe lateritia
n10495555	pusher, drug peddler, peddler, drug dealer, drug trafficker
n01474283	jawless vertebrate, jawless fish, agnathan
n04385536	tailpipe
n08182379	crowd
n10339717	musher
n04538878	visor, vizor
n09700964	britisher, briton, brit
n07869391	hash
n13024500	clavicipitaceae, grainy club mushrooms
n07561848	balanced diet
n10652605	state treasurer
n04197391	shirt
n10055410	enchantress, temptress, siren, delilah, femme fatale
n07590177	purloo, chicken purloo, poilu
n03146449	cul, cul de sac, dead end
n03342127	finger painting
n06883725	swastika, hakenkreuz
n10421470	pharmacist, druggist, chemist, apothecary, pill pusher, pill roller
n09708889	parisienne
n04480303	trews
n10024937	dominican
n07839055	nantua, shrimp sauce
n02157206	hexapod
n07855317	velveeta
n09760609	companion
n04369618	sweatband
n03837422	oar
n02731251	apron string
n07917272	screwdriver
n15102455	chipboard, hardboard
n07820145	rosemary
n09896401	caroler, caroller
n03383099	foresail
n04060448	rebozo
n12983961	sarcosomataceae
n03752398	metal wood
n07599998	chewing gum, gum
n07604956	comfit
n04198453	shirttail
n10596899	signaler, signaller
n04548362	wallet, billfold, notecase, pocketbook
n07574780	continental breakfast, petit dejeuner
n03906224	pegboard
n13009085	nameko, viscid mushroom, pholiota nameko
n03046802	clock pendulum
n07891726	wine, vino
n10162354	hatmaker, hatter, milliner, modiste
n04971313	rose, rosiness
n13008689	pholiota flammans
n03502509	headdress, headgear
n02799175	baseball bat, lumber
n11196627	munro, h. h. munro, hector hugh munro, saki
n04142731	scanner, electronic scanner
n09610405	commoner, common man, common person
n04540255	volleyball net
n07807317	combination salad
n07890540	guinness
n07853852	hand cheese
n02979186	cassette player
n05261310	thatch
n07837630	mornay sauce
n10258786	licentiate
n07588193	won ton, wonton, wonton soup
n10765885	wandering jew
n06277025	multiplex
n07586099	marmite
n09833441	bairn
n03938522	pillow lace, bobbin lace
n03043693	clinker, clinker brick
n03434188	generator
n10308732	mender, repairer, fixer
n10300500	mater
n00444937	snorkeling, snorkel diving
n09785659	alpinist
n09905185	certified public accountant, cpa
n04546340	walkman
n13016289	coffee fungus, pellicularia koleroga
n09830400	backbencher
n07802963	millet
